energy,setdelay,realdelay,I0,Ipos,Ineg,I1,I2,I3,I4
5189,-400.00000000,-400.00000000,486596.00000000,429940.00000000,406242.00000000,167284.00000000,168294.00000000,262656.00000000,237948.00000000
5189,-360.00000000,-360.00000000,488297.00000000,433711.00000000,407536.00000000,168328.00000000,168546.00000000,265383.00000000,238990.00000000
5189,-320.00000000,-320.00000000,486646.00000000,432436.00000000,404970.00000000,167026.00000000,167737.00000000,265410.00000000,237233.00000000
5189,-280.00000000,-280.00000000,487562.00000000,432823.00000000,407760.00000000,167649.00000000,168360.00000000,265174.00000000,239400.00000000
5189,-240.00000000,-240.00000000,487335.00000000,430888.00000000,406224.00000000,167927.00000000,168697.00000000,262961.00000000,237527.00000000
5189,-200.00000000,-200.00000000,487149.00000000,431549.00000000,406382.00000000,167590.00000000,168210.00000000,263959.00000000,238172.00000000
5189,-160.00000000,-160.00000000,488382.00000000,432371.00000000,406097.00000000,168212.00000000,168360.00000000,264159.00000000,237737.00000000
5189,-120.00000000,-120.00000000,490194.00000000,437412.00000000,410663.00000000,169622.00000000,169998.00000000,267790.00000000,240665.00000000
5189,-80.00000000,-80.00000000,487333.00000000,431694.00000000,406691.00000000,167497.00000000,167782.00000000,264197.00000000,238909.00000000
5189,-40.00000000,-40.00000000,487135.00000000,428772.00000000,404765.00000000,167735.00000000,167847.00000000,261037.00000000,236918.00000000
5189,0.00000000,0.00000000,486347.00000000,428584.00000000,405058.00000000,167811.00000000,167920.00000000,260773.00000000,237138.00000000
5189,40.00000000,40.00000000,487847.00000000,429386.00000000,406792.00000000,167689.00000000,168889.00000000,261697.00000000,237903.00000000
5189,80.00000000,80.00000000,486822.00000000,429299.00000000,405614.00000000,167827.00000000,168022.00000000,261472.00000000,237592.00000000
5189,120.00000000,120.00000000,488210.00000000,431611.00000000,406484.00000000,168460.00000000,168285.00000000,263151.00000000,238199.00000000
5189,160.00000000,160.00000000,489411.00000000,434697.00000000,408936.00000000,168647.00000000,169141.00000000,266050.00000000,239795.00000000
5189,200.00000000,200.00000000,490086.00000000,436406.00000000,410269.00000000,169358.00000000,169410.00000000,267048.00000000,240859.00000000
5189,240.00000000,240.00000000,489412.00000000,429916.00000000,407993.00000000,168826.00000000,169261.00000000,261090.00000000,238732.00000000
5189,280.00000000,280.00000000,489687.00000000,432204.00000000,407351.00000000,168913.00000000,169360.00000000,263291.00000000,237991.00000000
5189,320.00000000,320.00000000,489644.00000000,431155.00000000,407414.00000000,169002.00000000,169427.00000000,262153.00000000,237987.00000000
5189,360.00000000,360.00000000,490589.00000000,433493.00000000,409624.00000000,169091.00000000,169720.00000000,264402.00000000,239904.00000000
5189,400.00000000,400.00000000,488912.00000000,433592.00000000,408902.00000000,169012.00000000,168943.00000000,264580.00000000,239959.00000000
5189,400.10000000,400.10000000,489872.00000000,429996.00000000,409238.00000000,169272.00000000,170197.00000000,260724.00000000,239041.00000000
5189,360.10000000,360.10000000,490321.00000000,430385.00000000,408499.00000000,169303.00000000,169439.00000000,261082.00000000,239060.00000000
5189,320.10000000,320.10000000,490749.00000000,432426.00000000,409548.00000000,169867.00000000,170645.00000000,262559.00000000,238903.00000000
5189,280.10000000,280.10000000,489109.00000000,433416.00000000,408278.00000000,168809.00000000,169777.00000000,264607.00000000,238501.00000000
5189,240.10000000,240.10000000,489339.00000000,434451.00000000,407473.00000000,169055.00000000,168860.00000000,265396.00000000,238613.00000000
5189,200.10000000,200.10000000,490143.00000000,432671.00000000,408886.00000000,169316.00000000,169305.00000000,263355.00000000,239581.00000000
5189,160.10000000,160.10000000,490064.00000000,431105.00000000,408187.00000000,168971.00000000,169632.00000000,262134.00000000,238555.00000000
5189,120.10000000,120.10000000,487902.00000000,429904.00000000,407219.00000000,168374.00000000,168941.00000000,261530.00000000,238278.00000000
5189,80.10000000,80.10000000,490336.00000000,432554.00000000,409156.00000000,169474.00000000,169836.00000000,263080.00000000,239320.00000000
5189,40.10000000,40.10000000,489870.00000000,432513.00000000,407610.00000000,168769.00000000,169746.00000000,263744.00000000,237864.00000000
5189,0.10000000,0.10000000,489481.00000000,433981.00000000,409535.00000000,168471.00000000,169556.00000000,265510.00000000,239979.00000000
5189,-39.90000000,-39.90000000,488846.00000000,432181.00000000,406920.00000000,168375.00000000,168855.00000000,263806.00000000,238065.00000000
5189,-79.90000000,-79.90000000,488423.00000000,430141.00000000,406781.00000000,168257.00000000,169096.00000000,261884.00000000,237685.00000000
5189,-119.90000000,-119.90000000,488885.00000000,431896.00000000,409311.00000000,168724.00000000,169620.00000000,263172.00000000,239691.00000000
5189,-159.90000000,-159.90000000,487507.00000000,428375.00000000,405605.00000000,168341.00000000,169067.00000000,260034.00000000,236538.00000000
5189,-199.90000000,-199.90000000,488344.00000000,433076.00000000,406776.00000000,169163.00000000,168678.00000000,263913.00000000,238098.00000000
5189,-239.90000000,-239.90000000,489470.00000000,432437.00000000,407290.00000000,168610.00000000,168918.00000000,263827.00000000,238372.00000000
5189,-279.90000000,-279.90000000,490355.00000000,432604.00000000,408504.00000000,169457.00000000,169867.00000000,263147.00000000,238637.00000000
5189,-319.90000000,-319.90000000,490025.00000000,431175.00000000,409947.00000000,169265.00000000,169882.00000000,261910.00000000,240065.00000000
5189,-359.90000000,-359.90000000,490782.00000000,432002.00000000,408161.00000000,169407.00000000,169344.00000000,262595.00000000,238817.00000000
5189,-400.00000000,-400.00000000,490013.00000000,432452.00000000,407949.00000000,168907.00000000,169288.00000000,263545.00000000,238661.00000000
